suite,task,n_classes,bench_mcc,mcc_ci,bench_auroc,auroc_ci,max_pos_motif_auroc,motif_ci,best_pos_TF,tata_neg_excess,tf_motif_task,contamination_flag
GenomicBench,demo_human_or_worm,2,0.9141,"[0.909,0.919]",0.9923,"[0.992,0.993]",0.5548,"[0.558,0.581]",TBP,,False,
GenomicBench,human_ensembl_regulatory,3,0.9067,"[0.904,0.910]",0.9907,"[0.990,0.991]",0.6913,"[0.393,0.411]",SP2,,True,
GenomicBench,human_nontata_promoters,2,0.8737,"[0.865,0.883]",0.9891,"[0.988,0.991]",0.7513,"[0.742,0.761]",SP2,,True,
GenomicBench,demo_coding_vs_intergenomic_seqs,2,0.8002,"[0.793,0.808]",0.9646,"[0.963,0.967]",0.7176,"[0.713,0.732]",TBP,,False,
GenomicBench,dummy_mouse_enhancers_ensembl,2,0.5291,"[0.422,0.632]",0.8576,"[0.810,0.902]",0.7567,"[0.730,0.782]",KLF5,,False,
GenomicBench,human_enhancers_ensembl,2,0.5934,"[0.585,0.602]",0.8748,"[0.871,0.879]",0.5902,"[0.576,0.593]",KLF5,0.1083,True,CONTAMINATED-neg-TATA (weak)
GenomicBench,human_enhancers_cohn,2,0.4612,"[0.440,0.482]",0.8046,"[0.794,0.814]",0.5948,"[0.586,0.605]",KLF5,0.227,True,CONTAMINATED-neg-TATA (strong)
GenomicBench,drosophila_enhancers_stark,2,0.3983,"[0.352,0.441]",0.7631,"[0.739,0.785]",0.5683,"[0.555,0.582]",twi,-0.0344,True,TATA-in-positives (expected; assay control)
GenomicBench,human_ocr_ensembl,2,0.4213,"[0.412,0.430]",0.7851,"[0.780,0.789]",0.5728,"[0.544,0.567]",BATF3,0.09,True,clean/ambiguous
NucTransformer,nt_promoter_all,2,0.8878,"[0.877,0.899]",0.9854,"[0.983,0.988]",0.6756,"[0.657,0.679]",KLF5,0.0255,True,neg-TATA CONFOUNDED (pos class is promoter/TATA-depleted; not contamination)
NucTransformer,nt_promoter_no_tata,2,0.8867,"[0.873,0.899]",0.9845,"[0.982,0.987]",0.6741,"[0.654,0.675]",KLF5,0.0643,True,neg-TATA CONFOUNDED (pos class is promoter/TATA-depleted; not contamination)
NucTransformer,nt_promoter_tata,2,0.8463,"[0.803,0.886]",0.9838,"[0.975,0.990]",0.6512,"[0.639,0.664]",KLF5,-0.1785,True,TATA-in-positives (expected; assay control)
NucTransformer,nt_enhancers,2,0.5137,"[0.431,0.595]",0.8497,"[0.810,0.885]",0.5449,"[0.539,0.552]",KLF5,0.2092,True,CONTAMINATED-neg-TATA (strong)
NucTransformer,nt_enhancers_types,3,0.4761,"[0.415,0.532]",0.8367,"[0.804,0.869]",0.6749,"[0.663,0.684]",TBP,,True,
NucTransformer,nt_splice_sites_all,3,0.2435,"[0.219,0.271]",0.7035,"[0.690,0.717]",0.5216,"[0.500,0.523]",HAND2,,False,
