dataset,n_classes,k,feature_dim,model,n_train,n_test,accuracy,mcc,auroc,train_time_s,peak_ram_mb,split_source,seed,status,error,selected_by_val
human_nontata_promoters,2,3,64,lr,27097,9034,0.809608,0.627383,0.877835,0.0596,210.8,provided,42,ok,,0
human_nontata_promoters,2,3,64,lgbm,27097,9034,0.878681,0.766215,0.950759,2.8653,209.2,provided,42,ok,,0
human_nontata_promoters,2,4,256,lr,27097,9034,0.826766,0.657511,0.897361,0.127,276.2,provided,42,ok,,0
human_nontata_promoters,2,4,256,lgbm,27097,9034,0.903808,0.814649,0.971962,3.0397,303.2,provided,42,ok,,0
human_nontata_promoters,2,5,1024,lr,27097,9034,0.846248,0.69603,0.916393,0.2023,327.1,provided,42,ok,,0
human_nontata_promoters,2,5,1024,lgbm,27097,9034,0.921519,0.848615,0.983345,3.9843,440.6,provided,42,ok,,0
human_nontata_promoters,2,6,4096,lr,27097,9034,0.870157,0.744599,0.938115,0.2464,356.5,provided,42,ok,,0
human_nontata_promoters,2,6,4096,lgbm,27097,9034,0.93447,0.873673,0.98908,4.9928,556.5,provided,42,ok,,1
human_enhancers_cohn,2,3,64,lr,20843,6948,0.709413,0.418833,0.787756,0.0307,203.2,provided,42,ok,,0
human_enhancers_cohn,2,3,64,lgbm,20843,6948,0.720783,0.441666,0.794658,2.6001,217.8,provided,42,ok,,0
human_enhancers_cohn,2,4,256,lr,20843,6948,0.73129,0.462711,0.807601,0.1174,285.1,provided,42,ok,,0
human_enhancers_cohn,2,4,256,lgbm,20843,6948,0.729419,0.458862,0.804279,2.963,315.5,provided,42,ok,,0
human_enhancers_cohn,2,5,1024,lr,20843,6948,0.7346,0.469331,0.8125,0.1824,389.2,provided,42,ok,,0
human_enhancers_cohn,2,5,1024,lgbm,20843,6948,0.73057,0.461223,0.804649,4.2418,474.2,provided,42,ok,,1
human_enhancers_cohn,2,6,4096,lr,20843,6948,0.737047,0.474198,0.810294,0.314,451.3,provided,42,ok,,0
human_enhancers_cohn,2,6,4096,lgbm,20843,6948,0.724381,0.448923,0.801714,5.4631,735.3,provided,42,ok,,0
human_enhancers_ensembl,2,3,64,lr,123872,30970,0.698547,0.397121,0.76042,0.6091,385.2,provided,42,ok,,0
human_enhancers_ensembl,2,3,64,lgbm,123872,30970,0.743268,0.487417,0.818474,4.3351,345.1,provided,42,ok,,0
human_enhancers_ensembl,2,4,256,lr,123872,30970,0.73371,0.467457,0.802031,0.9447,699.8,provided,42,ok,,0
human_enhancers_ensembl,2,4,256,lgbm,123872,30970,0.768421,0.537276,0.848463,9.7995,725.0,provided,42,ok,,0
human_enhancers_ensembl,2,5,1024,lr,123872,30970,0.754537,0.509074,0.830336,0.8328,987.5,provided,42,ok,,0
human_enhancers_ensembl,2,5,1024,lgbm,123872,30970,0.78702,0.574384,0.864873,27.2015,1699.3,provided,42,ok,,0
human_enhancers_ensembl,2,6,4096,lr,123872,30970,0.780982,0.561965,0.857259,2.2386,1133.6,provided,42,ok,,0
human_enhancers_ensembl,2,6,4096,lgbm,123872,30970,0.79661,0.593439,0.874799,74.9348,2111.6,provided,42,ok,,1
human_ocr_ensembl,2,3,64,lr,139804,34952,0.625343,0.25071,0.670249,0.4731,392.6,provided,42,ok,,0
human_ocr_ensembl,2,3,64,lgbm,139804,34952,0.666257,0.333476,0.730576,4.341,403.8,provided,42,ok,,0
human_ocr_ensembl,2,4,256,lr,139804,34952,0.658532,0.317099,0.717974,1.7633,671.7,provided,42,ok,,0
human_ocr_ensembl,2,4,256,lgbm,139804,34952,0.68431,0.369415,0.753021,10.9424,848.6,provided,42,ok,,0
human_ocr_ensembl,2,5,1024,lr,139804,34952,0.678702,0.35741,0.74453,2.2483,1203.5,provided,42,ok,,0
human_ocr_ensembl,2,5,1024,lgbm,139804,34952,0.697585,0.395602,0.771238,34.4648,1530.8,provided,42,ok,,0
human_ocr_ensembl,2,6,4096,lr,139804,34952,0.702878,0.405757,0.77307,1.545,1191.7,provided,42,ok,,0
human_ocr_ensembl,2,6,4096,lgbm,139804,34952,0.710431,0.421252,0.785095,91.9392,2292.4,provided,42,ok,,1
human_ensembl_regulatory,3,3,64,lr,231348,57713,0.569802,0.352481,0.761977,4.7747,628.0,provided,42,ok,,0
human_ensembl_regulatory,3,3,64,lgbm,231348,57713,0.925892,0.888608,0.987251,15.3506,520.7,provided,42,ok,,0
human_ensembl_regulatory,3,4,256,lr,231348,57713,0.604041,0.402842,0.793033,25.4169,966.8,provided,42,ok,,0
human_ensembl_regulatory,3,4,256,lgbm,231348,57713,0.937432,0.905984,0.990623,41.6452,1341.1,provided,42,ok,,0
human_ensembl_regulatory,3,5,1024,lr,231348,57713,0.621818,0.429433,0.80891,38.0104,1483.3,provided,42,ok,,0
human_ensembl_regulatory,3,5,1024,lgbm,231348,57713,0.937865,0.906674,0.990743,125.8616,2505.3,provided,42,ok,,1
human_ensembl_regulatory,3,6,4096,lr,231348,57713,0.636009,0.450931,0.821198,55.1475,2035.5,provided,42,ok,,0
human_ensembl_regulatory,3,6,4096,lgbm,231348,57713,0.935942,0.903791,0.990338,361.6811,2642.4,provided,42,ok,,0
drosophila_enhancers_stark,2,3,64,lr,5184,1730,0.689017,0.380006,0.739395,0.0135,172.3,provided,42,ok,,0
drosophila_enhancers_stark,2,3,64,lgbm,5184,1730,0.693642,0.389212,0.746515,2.576,209.2,provided,42,ok,,0
drosophila_enhancers_stark,2,4,256,lr,5184,1730,0.700578,0.403061,0.761429,0.0547,204.9,provided,42,ok,,0
drosophila_enhancers_stark,2,4,256,lgbm,5184,1730,0.697688,0.398321,0.763135,4.0405,288.5,provided,42,ok,,1
drosophila_enhancers_stark,2,5,1024,lr,5184,1730,0.713295,0.428159,0.782527,0.1914,294.0,provided,42,ok,,0
drosophila_enhancers_stark,2,5,1024,lgbm,5184,1730,0.720809,0.445167,0.780169,13.26,615.7,provided,42,ok,,0
drosophila_enhancers_stark,2,6,4096,lr,5184,1730,0.717919,0.437908,0.786945,0.3573,403.3,provided,42,ok,,0
drosophila_enhancers_stark,2,6,4096,lgbm,5184,1730,0.710983,0.424814,0.772893,36.8539,1745.3,provided,42,ok,,0
dummy_mouse_enhancers_ensembl,2,3,64,lr,968,242,0.760331,0.520946,0.873847,0.0032,162.4,provided,42,ok,,0
dummy_mouse_enhancers_ensembl,2,3,64,lgbm,968,242,0.809917,0.621962,0.885254,1.495,195.7,provided,42,ok,,0
dummy_mouse_enhancers_ensembl,2,4,256,lr,968,242,0.77686,0.554933,0.882658,0.0067,166.9,provided,42,ok,,0
dummy_mouse_enhancers_ensembl,2,4,256,lgbm,968,242,0.789256,0.578532,0.897958,1.9525,253.6,provided,42,ok,,0
dummy_mouse_enhancers_ensembl,2,5,1024,lr,968,242,0.785124,0.57056,0.884639,0.0179,180.5,provided,42,ok,,0
dummy_mouse_enhancers_ensembl,2,5,1024,lgbm,968,242,0.785124,0.57095,0.877809,3.8736,427.5,provided,42,ok,,0
dummy_mouse_enhancers_ensembl,2,6,4096,lr,968,242,0.756198,0.51538,0.875692,0.0352,194.8,provided,42,ok,,0
dummy_mouse_enhancers_ensembl,2,6,4096,lgbm,968,242,0.764463,0.529088,0.857592,7.0729,663.5,provided,42,ok,,1
demo_coding_vs_intergenomic_seqs,2,3,64,lr,75000,25000,0.86988,0.739831,0.941339,0.1613,295.4,provided,42,ok,,0
demo_coding_vs_intergenomic_seqs,2,3,64,lgbm,75000,25000,0.89224,0.7845,0.959299,2.9918,304.6,provided,42,ok,,0
demo_coding_vs_intergenomic_seqs,2,4,256,lr,75000,25000,0.88328,0.766718,0.952816,0.4381,449.3,provided,42,ok,,0
demo_coding_vs_intergenomic_seqs,2,4,256,lgbm,75000,25000,0.89952,0.799047,0.963561,3.9029,476.8,provided,42,ok,,0
demo_coding_vs_intergenomic_seqs,2,5,1024,lr,75000,25000,0.89484,0.789697,0.960706,0.4558,557.2,provided,42,ok,,0
demo_coding_vs_intergenomic_seqs,2,5,1024,lgbm,75000,25000,0.90012,0.800248,0.964622,5.0902,832.7,provided,42,ok,,1
demo_coding_vs_intergenomic_seqs,2,6,4096,lr,75000,25000,0.90032,0.80064,0.964261,0.482,602.7,provided,42,ok,,0
demo_coding_vs_intergenomic_seqs,2,6,4096,lgbm,75000,25000,0.89956,0.799124,0.963609,6.3499,993.2,provided,42,ok,,0
demo_human_or_worm,2,3,64,lr,75000,25000,0.92832,0.856733,0.976385,0.204,292.0,provided,42,ok,,0
demo_human_or_worm,2,3,64,lgbm,75000,25000,0.95332,0.906661,0.991111,3.2065,301.5,provided,42,ok,,0
demo_human_or_worm,2,4,256,lr,75000,25000,0.93888,0.877868,0.984047,0.3892,411.3,provided,42,ok,,0
demo_human_or_worm,2,4,256,lgbm,75000,25000,0.95752,0.915046,0.99235,4.3482,439.5,provided,42,ok,,0
demo_human_or_worm,2,5,1024,lr,75000,25000,0.94972,0.89952,0.989392,0.4246,537.4,provided,42,ok,,0
demo_human_or_worm,2,5,1024,lgbm,75000,25000,0.95704,0.91408,0.992301,5.3973,770.9,provided,42,ok,,1
demo_human_or_worm,2,6,4096,lr,75000,25000,0.9534,0.906889,0.990941,0.4158,583.7,provided,42,ok,,0
demo_human_or_worm,2,6,4096,lgbm,75000,25000,0.95476,0.90952,0.990975,6.796,931.7,provided,42,ok,,0
