dropped_task,rho,p
drosophila_enhancers_stark,0.8095238095238096,0.01490266768623008
human_ocr_ensembl,0.8095238095238096,0.01490266768623008
nt_promoter_all,0.8095238095238096,0.01490266768623008
human_ensembl_regulatory,0.8095238095238096,0.01490266768623008
human_enhancers_cohn,0.8571428571428572,0.006530017254715293
nt_promoter_tata,0.880952380952381,0.0038503204637324023
nt_promoter_no_tata,0.880952380952381,0.0038503204637324023
human_enhancers_ensembl,0.9285714285714287,0.0008629681828999772
nt_enhancers_types,0.9761904761904763,3.3143960262000996e-05
