dataset,split,threshold_bits,tata_auroc,tata_ci_lo,tata_ci_hi,n_pos,n_neg
human_enhancers_cohn,original,0.8,0.3071,0.2965,0.3181,4000,4000
human_enhancers_cohn,original,1.0,0.3242,0.3134,0.335,4000,4000
human_enhancers_cohn,original,1.1,0.344,0.3331,0.3552,4000,4000
human_enhancers_cohn,original,1.2,0.3654,0.3546,0.3768,4000,4000
human_enhancers_cohn,original,1.3,0.3671,0.3563,0.3783,4000,4000
human_enhancers_cohn,original,1.4,0.3866,0.3769,0.3978,4000,4000
human_enhancers_cohn,original,1.5,0.4006,0.3894,0.4104,4000,4000
human_enhancers_cohn,comp_equalized,0.8,0.4855,0.4613,0.5105,4000,627
human_enhancers_cohn,comp_equalized,1.0,0.4995,0.4744,0.523,4000,627
human_enhancers_cohn,comp_equalized,1.1,0.5015,0.4779,0.5255,4000,627
human_enhancers_cohn,comp_equalized,1.2,0.503,0.4799,0.5253,4000,627
human_enhancers_cohn,comp_equalized,1.3,0.4959,0.4741,0.517,4000,627
human_enhancers_cohn,comp_equalized,1.4,0.4964,0.4778,0.5141,4000,627
human_enhancers_cohn,comp_equalized,1.5,0.4945,0.4764,0.5123,4000,627
nt_enhancers,original,0.8,0.2823,0.271,0.2933,4000,4000
nt_enhancers,original,1.0,0.3205,0.3095,0.331,4000,4000
nt_enhancers,original,1.1,0.3492,0.3385,0.3598,4000,4000
nt_enhancers,original,1.2,0.3864,0.3773,0.3959,4000,4000
nt_enhancers,original,1.3,0.3919,0.3827,0.4001,4000,4000
nt_enhancers,original,1.4,0.4065,0.3995,0.4135,4000,4000
nt_enhancers,original,1.5,0.4307,0.424,0.4379,4000,4000
nt_enhancers,comp_equalized,0.8,0.5009,0.4728,0.5279,4000,379
nt_enhancers,comp_equalized,1.0,0.4998,0.4751,0.5246,4000,379
nt_enhancers,comp_equalized,1.1,0.4972,0.475,0.5193,4000,379
nt_enhancers,comp_equalized,1.2,0.4959,0.4774,0.5142,4000,379
nt_enhancers,comp_equalized,1.3,0.4963,0.4785,0.5121,4000,379
nt_enhancers,comp_equalized,1.4,0.4905,0.4752,0.5039,4000,379
nt_enhancers,comp_equalized,1.5,0.4902,0.4763,0.5026,4000,379
